Study.Num,T_pval_USE..O.,T_pval_USE..R.,T_Test.Statistic..O.,T_N..O.,T_df1..O.,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
121,2.1998e-4,2.82e-8,t,12,1,1,2.1998e-4,12,1,0.006638837592106258,0.006796790822612864,-0.15222968265179737,FALSE
122,0.02809598,4.9e-8,t,8,1,1,0.02809598,8,1,0.3430161077620424,0.007244341771541873,0.48769307016724384,TRUE
124,0.02067727,0.778156632,F,36,1,0,0.02067727,36,1,0.44451225846313136,0.004582432797211156,0.35437470992062625,TRUE
127,2.93e-5,0.004708112,t,32,1,1,2.93e-5,32,1,0.00119976653915459,0.00482336460862387,-0.10611823052097012,FALSE
129,0.051411614,0.887981301,F,28,1,0,0.051411614,28,1,0.8491327430312836,0.005102332430968359,1.0314406978453745,FALSE
132,0.002850691,0.254170145,F,25,3,0,0.002850691,25,3,0.04929743240926937,0.010110159489899129,-0.1819879046159859,FALSE
133,0.025570456,0.007242548,F,24,1,1,0.025570456,24,1,0.4495362417805956,0.0054290691770360056,0.45189513548563076,TRUE
134,0.023,2.41e-16,t,119,1,1,0.023,119,1,0.8411591470118845,0.002575766692572534,0.4306708170699867,TRUE
135,0.912448643,3.14e-10,t,684,1,1,0.912448643,684,1,25.996014587292144,0.0010292404246924347,18.611502261338636,FALSE
136,0.005086904,0.444536036,t,30,1,0,0.005086904,30,1,0.12334902451570275,0.004957543622287619,0.002871965432515576,TRUE
139,0.002712614,2.17732e-4,F,4,3,1,0.002712614,4,3,0.1459925699538729,0.001669967308904674,0.021573473739599405,TRUE
140,0.009205933,0.786998369,F,84,2,0,0.009205933,84,2,0.140716772798713,0.007742407238535476,0.03463343900647222,TRUE
142,1.3899999999999998e-43,3.2999999999999996e-52,F,82,2,1,2.220446049250313e-16,82,2,1.0764494645581707e-13,0.007791473013074257,-0.18459476246322157,FALSE
143,0.007654847,0.677581223,F,57,4,0,0.007654847,57,4,0.09109316027649997,0.011239059390831585,-0.09246969589751865,FALSE
145,2.1e-16,8.85e-6,F,80,1,1,2.220446049250313e-16,80,1,3.1587953322132724e-14,0.0031447092307649305,-0.06711534981721866,FALSE
146,0.006420541,0.083950437,t,30,1,0,0.006420541,30,1,0.15110899422860327,0.004957543622287619,0.03248040838279619,TRUE
148,0.008092031,0.627520896,F,208,1,0,0.008092031,208,1,0.44004904521721655,0.0019307198473298426,0.12817564842039572,TRUE
149,0.008092031,0.74612573,F,208,1,0,0.008092031,208,1,0.44004904521721655,0.0019307198473298426,0.12817564842039572,TRUE
150,0.002344469,0.380003702,F,14,1,0,0.002344469,14,1,0.05084831018992574,0.006529690777615782,-0.09627770891173418,FALSE
151,0.007866967,0.974823723,F,43,1,0,0.007866967,43,1,0.2082488349249822,0.004230853779070842,0.0794446372973077,TRUE
153,0.002971641,0.758308044,t,8,1,0,0.002971641,8,1,0.05953869426131632,0.007244341771541873,-0.099932990125222,FALSE
158,0.017182464,3.46e-5,F,40,1,1,0.017182464,40,1,0.3971624829199579,0.004372061559872686,0.2807578619169271,TRUE
161,6.65379e-4,0.237041962,F,48,1,0,6.65379e-4,48,1,0.0238609727006599,0.004021504209579585,-0.07299336683125747,FALSE
165,0.033697241,0.210207014,Chi2,56,1,0,0.033697241,56,1,0.8170489344137928,0.0037399282463916883,0.6475846581727713,TRUE
167,0.007169828,0.241925362,F,18,1,0,0.007169828,18,1,0.13960413688213968,0.006035246060934751,0.025806625476347905,TRUE
