Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
9,18,0.6449664,1.96e-17,chi-squared,NA,1,1,0.6449664,18,1,3.8379199343752677,0.001209725733475553,13.194364736502683,FALSE
9,18,0.6449664,6.91e-6,chi-squared,NA,1,1,0.6449664,18,1,3.8379199343752677,0.001209725733475553,13.194364736502683,FALSE
9,7,6.93e-16,0.77218,chi-squared,NA,1,0,6.93e-16,7,1,1.9113956512907152e-12,0.001232818257569157,-0.025279669923919886,FALSE
9,8,3.42e-7,0.06858681,chi-squared,NA,1,0,3.42e-7,8,1,3.251402382660786e-5,0.0012738515147696639,-0.026136059474425412,FALSE
15,6,0.0154218,0.7365876,t,NA,2.797413,0,0.0154218,6,1,0.2124675270689849,0.0011594819617675167,0.2920181564632034,TRUE
15,20,5.879201e-4,0.825914,t,NA,9.769102017,0,5.879201e-4,20,1,0.01634703949957845,0.001177655165555458,-0.012079204052063376,FALSE
15,30,0.9525123,0.2333175,F,2,27,0,0.9525123,30,2,5.263673034934343,0.0017223657863507658,19.694211402447685,FALSE
15,20,2.1e-5,0.669649,t,NA,27,0,2.1e-5,20,1,8.268265232417354e-4,0.001177655165555458,-0.023691102290921282,FALSE
16,5,4.72e-5,0.02087446,t,NA,4,1,4.72e-5,5,1,0.002972856375933721,0.0010340064211737943,-0.02015289283541685,FALSE
16,9,3.71e-8,0.002723826,t,NA,8,1,3.71e-8,9,1,4.260939349239189e-6,0.0012944980901190561,-0.026577305219319527,FALSE
16,14,4.86e-10,5.2e-5,t,NA,13,1,4.86e-10,14,1,5.79602745536128e-8,0.0012712222117087224,-0.026087699782492306,FALSE
19,2,0.1766213,2.6e-6,t,NA,1,1,0.1766213,2,1,0.8959389325228577,8.733536125737906e-5,3.536857146707321,FALSE
19,2,0.1815468,1.5e-5,t,NA,1,1,0.1815468,2,1,0.9051492203543959,8.733536125737906e-5,3.6355395159146098,FALSE
19,19,4e-5,0.02364086,chi-squared,NA,1,1,4e-5,19,1,0.001474419180291952,0.0011936354730500698,-0.023636988418038275,FALSE
