Study.Num,T_pval_USE..O.,T_pval_USE..R.,T_Test.Statistic..O.,T_N..O.,T_df1..O.,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
77,0.001382678,0.758,F,246,1,0,0.001382678,246,1,0.09623880215855048,6.099914400949924e-4,0.015644592548871867,TRUE
80,0.044070981,0.190467907,F,46,2,0,0.044070981,46,2,0.4736313153829012,0.002803454075798406,0.8743759975672352,TRUE
81,0.009719762,0.233830099,F,94,1,0,0.009719762,94,1,0.3550256094131271,9.87482706675702e-4,0.17816426854928483,TRUE
82,0.033841139,0.086,r,50,41,0,0.033841139,50,41,0.4821869871884024,2.2659773613042944e-8,0.6768226335374807,TRUE
84,2.82953e-4,0.007708395,Chi2,52,1,1,2.82953e-4,52,1,0.011247081789783597,0.0013001629314194352,-0.020887337466590897,FALSE
86,0.02102091,0.140627311,F,85,2,0,0.02102091,85,2,0.2946422099659676,0.0025687700179719553,0.3890293376119418,TRUE
87,0.003371756,0.929110139,F,55,1,0,0.003371756,55,1,0.10910302474338114,0.0012681130281301245,0.04316768962967077,TRUE
89,0.477948177,0.881922196,t,163,1,0,0.477948177,163,1,9.94081492070295,7.522175580496615e-4,9.689694353333245,FALSE
93,0.003071238,0.2649653,t,91,1,0,0.003071238,91,1,0.12508755123750434,0.0010030420037961951,0.04221070206774969,TRUE
94,0.036392019,0.011765834,t,28,1,1,0.036392019,28,1,0.6408064314177088,0.0016734673603009398,0.7184159455126855,TRUE
97,8.19277e-4,0.154430586,F,90,1,0,8.19277e-4,90,1,0.0373877630667865,0.001008386012897322,-0.003860028227424925,FALSE
104,0.050342933,0.533880559,Chi2,236,1,0,0.050342933,236,1,2.2819499376515053,6.23125451046147e-4,1.0069452148021236,FALSE
106,0.021595498,0.132031044,F,36,1,0,0.021595498,36,1,0.4611758379192275,0.0015193629081940996,0.4141062555301924,TRUE
107,0.039641746,0.189435742,t,86,1,0,0.039641746,86,1,1.1447757451759542,0.0010306041761880547,0.7884749479599832,TRUE
110,5.76e-24,0.277177119,F,280,1,0,2.220446049250313e-16,280,1,4.374074940357172e-14,5.70656135540859e-4,-0.011544885910390408,FALSE
111,0.011256115,0.013965691,F,59,1,1,0.011256115,59,1,0.3266058966159365,0.0012286466717692512,0.20560160102070535,TRUE
112,0.016232104,0.007800372,F,141,1,1,0.016232104,141,1,0.6744148365877926,8.089876649467476e-4,0.313535249691595,TRUE
113,1.69e-18,4.5899999999999996e-35,t,126,1,1,2.220446049250313e-16,126,1,3.3991884350289233e-14,8.555525784479379e-4,-0.017408936784026538,FALSE
114,6.47885e-4,5.14e-5,F,32,1,1,6.47885e-4,32,1,0.020203191587407583,0.0015915976917469932,-0.01949481178365811,FALSE
115,0.00292708,0.191700924,t,32,1,0,0.00292708,32,1,0.07769219335140914,0.0015915976917469932,0.027587820390125212,TRUE
116,1.18e-4,9.5e-5,t,173,1,1,1.18e-4,173,1,0.008290041714471322,7.299425311599883e-4,-0.012420170842037288,FALSE
117,6.059999999999999e-42,3.35e-33,F,12,18,1,2.220446049250313e-16,12,18,0.0019372223621429892,1.2902733470543382e-7,-2.5805533489061974e-6,FALSE
118,0.023051359,0.539024693,F,115,1,0,0.023051359,115,1,0.8291167212606304,8.950263919209611e-4,0.45120343175245586,TRUE
121,2.1998e-4,2.82e-8,t,12,1,1,2.1998e-4,12,1,0.006638837592106258,0.0020932768422099457,-0.03910300514689515,FALSE
122,0.02809598,4.9e-8,t,8,1,1,0.02809598,8,1,0.3430161077620424,0.0021077420667913183,0.5426396468809698,TRUE
124,0.02067727,0.778156632,F,36,1,0,0.02067727,36,1,0.44451225846313136,0.0015193629081940996,0.39516615789366205,TRUE
127,2.93e-5,0.004708112,t,32,1,1,2.93e-5,32,1,0.00119976653915459,0.0015915976917469932,-0.03227327524256345,FALSE
129,0.051411614,0.887981301,F,28,1,0,0.051411614,28,1,0.8491327430312836,0.0016734673603009398,1.029209916848874,FALSE
132,0.002850691,0.254170145,F,25,3,0,0.002850691,25,3,0.04929743240926937,0.0025211593443996705,0.006940600297944716,TRUE
133,0.025570456,0.007242548,F,24,1,1,0.025570456,24,1,0.4495362417805956,0.0017664930805376677,0.49351507779040166,TRUE
134,0.023,2.41e-16,t,119,1,1,0.023,119,1,0.8411591470118845,8.800766062323495e-4,0.4503248756404663,TRUE
135,0.912448643,3.14e-10,t,684,1,1,0.912448643,684,1,25.996014587292144,3.581584580377717e-4,18.373421617950502,FALSE
136,0.005086904,0.444536036,t,30,1,0,0.005086904,30,1,0.12334902451570275,0.0016312298255349855,0.07144432579121773,TRUE
139,0.002712614,2.17732e-4,F,4,3,1,0.002712614,4,3,0.1459925699538729,1.349701091073463e-4,0.05169241643959055,TRUE
140,0.009205933,0.786998369,F,84,2,0,0.009205933,84,2,0.140716772798713,0.0025747683515712216,0.13982355842954478,TRUE
142,1.3899999999999998e-43,3.2999999999999996e-52,F,82,2,1,2.220446049250313e-16,82,2,1.0764494645581707e-13,0.002586847593967434,-0.05455970469573917,FALSE
143,0.007654847,0.677581223,F,57,4,0,0.007654847,57,4,0.09109316027649997,0.002898663202486662,0.10097768175795034,TRUE
145,2.1e-16,8.85e-6,F,80,1,1,2.220446049250313e-16,80,1,3.1587953322132724e-14,0.0010667111002548024,-0.02179929296066864,FALSE
146,0.006420541,0.083950437,t,30,1,0,0.006420541,30,1,0.15110899422860327,0.0016312298255349855,0.09901660011594426,TRUE
148,0.008092031,0.627520896,F,208,1,0,0.008092031,208,1,0.44004904521721655,6.647172028371173e-4,0.15054770898343778,TRUE
149,0.008092031,0.74612573,F,208,1,0,0.008092031,208,1,0.44004904521721655,6.647172028371173e-4,0.15054770898343778,TRUE
150,0.002344469,0.380003702,F,14,1,0,0.002344469,14,1,0.05084831018992574,0.0020429478159619263,0.006287316886804636,TRUE
151,0.007866967,0.974823723,F,43,1,0,0.007866967,43,1,0.2082488349249822,0.0014117786939576993,0.1328550033841134,TRUE
153,0.002971641,0.758308044,t,8,1,0,0.002971641,8,1,0.05953869426131632,0.0021077420667913183,0.01803838387435166,TRUE
158,0.017182464,3.46e-5,F,40,1,1,0.017182464,40,1,0.3971624829199579,0.00145527610082119,0.32397316610229715,TRUE
161,6.65379e-4,0.237041962,F,48,1,0,6.65379e-4,48,1,0.0238609727006599,0.0013466406744518933,-0.014002356340770895,FALSE
165,0.033697241,0.210207014,Chi2,56,1,0,0.033697241,56,1,0.8170489344137928,0.0012579132598821152,0.6655301385243776,TRUE
167,0.007169828,0.241925362,F,18,1,0,0.007169828,18,1,0.13960413688213968,0.0019280551346583241,0.10904016635950223,TRUE
