Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
9,7,6.93e-16,0.77218,chi-squared,NA,1,0,6.93e-16,7,1,1.9113956512907152e-12,5.157489354190581e-4,-0.010422486434022635,FALSE
9,8,3.42e-7,0.06858681,chi-squared,NA,1,0,3.42e-7,8,1,3.251402382660786e-5,5.422744543200908e-4,-0.010957488407337975,FALSE
15,6,0.0154218,0.7365876,t,NA,2.797413,0,0.0154218,6,1,0.2124675270689849,4.7346539416925904e-4,0.30182476373121564,TRUE
15,20,5.879201e-4,0.825914,t,NA,9.769102017,0,5.879201e-4,20,1,0.01634703949957845,5.364966116759851e-4,0.0010396248708932642,TRUE
15,30,0.9525123,0.2333175,F,2,27,0,0.9525123,30,2,5.263673034934343,7.376656492965594e-4,19.32053458073922,FALSE
15,20,2.1e-5,0.669649,t,NA,27,0,2.1e-5,20,1,8.268265232417354e-4,5.364966116759851e-4,-0.010421756979665726,FALSE
16,5,4.72e-5,0.02087446,t,NA,4,1,4.72e-5,5,1,0.002972856375933721,4.072726290641482e-4,-0.00726059340053903,FALSE
16,9,3.71e-8,0.002723826,t,NA,8,1,3.71e-8,9,1,4.260939349239189e-6,5.583532281281389e-4,-0.011292425810658351,FALSE
16,14,4.86e-10,5.2e-5,t,NA,13,1,4.86e-10,14,1,5.79602745536128e-8,5.683799644747856e-4,-0.01149829760922879,FALSE
19,2,0.1766213,2.6e-6,t,NA,1,1,0.1766213,2,1,0.8959389325228577,2.0256071141755427e-5,3.533452355823076,FALSE
19,2,0.1815468,1.5e-5,t,NA,1,1,0.1815468,2,1,0.9051492203543959,2.0256071141755427e-5,3.632002280508785,FALSE
19,19,4e-5,0.02364086,chi-squared,NA,1,1,4e-5,19,1,0.001474419180291952,5.425342098898112e-4,-0.01016093731980705,FALSE
19,19,1.094824e-4,0.2655945,t,NA,17,0,1.094824e-4,19,1,0.003636246020595867,5.425342098898112e-4,-0.008756045279950572,FALSE
20,34,0.6415434,0.9782731,chi-squared,NA,2,0,0.6415434,34,2,4.036695226709041,7.532270995215251e-4,13.011820575440236,FALSE
20,18,0.001023486,0.327788,z,NA,NA,0,0.001023486,18,1,0.02605522554704983,5.484507687307794e-4,0.009606073796548447,TRUE
20,21,0.1460453,0.0623144,z,NA,NA,0,0.1460453,21,1,1.6753692179250192,5.30408503210622e-4,2.9415017810735997,FALSE
20,27,0.03519667,0.2227251,z,NA,NA,0,0.03519667,27,1,0.6140094588584247,4.949346220790574e-4,0.7009734279312309,TRUE
20,13,0.001554002,0.9432789,z,NA,NA,0,0.001554002,13,1,0.03546805678720514,5.713137563808646e-4,0.019880929846602852,TRUE
20,18,0.01165501,0.09386169,z,NA,NA,0,0.01165501,18,1,0.21026659444257803,5.484507687307794e-4,0.22459476808961765,TRUE
20,25,2.038955e-4,0.02466544,rho,NA,NA,1,2.038955e-4,25,1,0.006657008274020906,5.06402986404253e-4,-0.00611205296558169,FALSE
21,12,0.04073944,0.02357807,t,NA,10,1,0.04073944,12,1,0.5083902147473868,5.726442085649541e-4,0.8126430222349724,TRUE
21,12,3.985327e-4,0.04057874,t,NA,10,1,3.985327e-4,12,1,0.01105783647648391,5.726442085649541e-4,-0.003522573801027098,FALSE
21,12,0.31699,0.4863648,t,NA,10,0,0.31699,12,1,2.1891481450890535,5.726442085649541e-4,6.401664639447797,FALSE
24,8,0.002190081,0.8655577,t,NA,6,0,0.002190081,8,1,0.04663811430979783,5.422744543200908e-4,0.0333174752275652,TRUE
24,8,0.2351748,0.4031949,t,NA,6,0,0.2351748,8,1,1.5267750969370106,5.422744543200908e-4,4.744102624148571,FALSE
24,8,7.419815e-4,0.8291362,t,NA,3.576481,0,7.419815e-4,8,1,0.019458373220019403,5.422744543200908e-4,0.004037934285826725,TRUE
24,8,0.004015118,0.6850368,t,NA,3.925518,0,0.004015118,8,1,0.07566409523332113,5.422744543200908e-4,0.07021842406546451,TRUE
24,8,3.724277e-4,0.02857143,t,NA,3.085825,1,3.724277e-4,8,1,0.011092154752110985,5.422744543200908e-4,-0.003434180453025842,FALSE
24,8,0.008718023,0.007735024,t,NA,6,1,0.008718023,8,1,0.13943626425598396,5.422744543200908e-4,0.16530781501726485,TRUE
24,8,0.01214254,0.0106408,t,NA,4.392191,1,0.01214254,8,1,0.18048159764180152,5.422744543200908e-4,0.2345491107342922,TRUE
24,8,2.331278e-4,6.895721e-4,t,NA,6,1,2.331278e-4,8,1,0.007555699996581258,5.422744543200908e-4,-0.006250725258980181,FALSE
24,8,6.512861e-4,0.00129412,t,NA,6,1,6.512861e-4,8,1,0.017500958744703577,5.422744543200908e-4,0.002204137866777241,TRUE
24,8,5.563789e-4,0.001362887,t,NA,6,1,5.563789e-4,8,1,0.015394221892924166,5.422744543200908e-4,2.8518185024263104e-4,TRUE
24,8,7.993519e-4,3.991548e-4,t,NA,3.325596,1,7.993519e-4,8,1,0.020671967878114397,5.422744543200908e-4,0.005197922930007538,TRUE
24,8,2.357769e-4,0.143716,t,NA,6,0,2.357769e-4,8,1,0.007626124568797369,5.422744543200908e-4,-0.006197162342959038,FALSE
24,8,9.51e-5,0.005671521,t,NA,6,1,9.51e-5,8,1,0.0036098344452625887,5.422744543200908e-4,-0.009041549108583121,FALSE
24,8,1.234589e-4,0.06300514,t,NA,6,0,1.234589e-4,8,1,0.004477736944271777,5.422744543200908e-4,-0.008468152340189328,FALSE
24,8,1.647319e-4,5.585633e-4,t,NA,3.003484,1,1.647319e-4,8,1,0.005679050403358408,5.422744543200908e-4,-0.007633641663755579,FALSE
24,8,0.005636838,0.007422007,t,NA,6,1,0.005636838,8,1,0.09898467220059674,5.422744543200908e-4,0.10300844791122657,TRUE
24,8,0.2050917,0.404974,t,NA,6,0,0.2050917,8,1,1.401032742951563,5.422744543200908e-4,4.1358437592678,FALSE
24,8,0.007176665,0.03894628,t,NA,6,1,0.007176665,8,1,0.11971732099681674,5.422744543200908e-4,0.13414265359922958,TRUE
24,8,3.16e-5,0.006015906,t,NA,3,1,3.16e-5,8,1,0.001448290219327441,5.422744543200908e-4,-0.010325473900906018,FALSE
24,6,0.001728131,0.02190393,t,NA,4,1,0.001728131,6,1,0.040968597028202575,4.7346539416925904e-4,0.025333199986962738,TRUE
24,6,5.738803e-4,0.5690665,t,NA,4,0,5.738803e-4,6,1,0.017504330496107005,4.7346539416925904e-4,0.0020274971109914717,TRUE
24,6,5.544865e-4,0.01557516,t,NA,4,1,5.544865e-4,6,1,0.017043480578268506,4.7346539416925904e-4,0.0016359130812516492,TRUE
24,6,0.004070677,0.07951859,t,NA,4,0,0.004070677,6,1,0.0786726102874872,4.7346539416925904e-4,0.07263200695263751,TRUE
24,6,0.0220685,0.01399455,t,NA,2.835155,1,0.0220685,6,1,0.2759293592214195,4.7346539416925904e-4,0.4360295905558546,TRUE
24,6,0.005551034,0.002836135,t,NA,2.005994,1,0.005551034,6,1,0.09940815872691636,4.7346539416925904e-4,0.10252218626321899,TRUE
24,6,0.01632962,0.6034163,t,NA,2.413834,0,0.01632962,6,1,0.22156285327268796,4.7346539416925904e-4,0.3201547358809958,TRUE
24,6,0.01822076,0.3327408,t,NA,4,0,0.01822076,6,1,0.24003920031996545,4.7346539416925904e-4,0.35833911552821135,TRUE
24,6,0.002565041,0.03318543,t,NA,4,1,0.002565041,6,1,0.055402843160862345,4.7346539416925904e-4,0.04223141438174639,TRUE
